source,relation,target
Paper - SI BhiCC Drug Testing ACS AMI Final,mentions,Concept - Cancer and Therapeutics
Paper - 1-s2.0-S0272884222036471-main,mentions,Concept - Research Papers
Paper - 1-s2.0-S0272884224059509-main,mentions,Concept - Research Papers
Paper - 1-s2.0-S1385894725029535-main,mentions,Concept - Research Papers
Paper - 1-s2.0-S259025712200030X-main,mentions,Concept - Research Papers
Paper - 10.48550 arxiv.2501.06039,mentions,Concept - Research Papers
Paper - 1010 001 dec2025 iy,mentions,Concept - Research Papers
Paper - 10547921,mentions,Concept - Research Papers
Paper - 184031 MEen,mentions,Concept - Research Papers
Paper - 2020 iPSC Advances WadkinIntro Math Modelling,mentions,Concept - iPSC and Stem Cells
Paper - 2020 iPSC Advances WadkinIntro Math Modelling,mentions,Concept - Digital Twins and Modeling
Paper - 2023-09-01 UofT Lash Miller - Issued for 100 CD - Laboratories 1 1,mentions,Concept - Research Papers
Paper - 2023-09-01 UofT Lash Miller - Issued for 100 CD - Laboratories 1,mentions,Concept - Research Papers
Paper - 2025.02.14.638383v1.full 1,mentions,Concept - Research Papers
Paper - 2025.02.14.638383v1.full,mentions,Concept - Research Papers
Paper - 2025.04.28.651001v1.full,mentions,Concept - Research Papers
Paper - 2025 07 12 Carpenter AACR,mentions,Concept - Research Papers
Paper - 2026P3,mentions,Concept - Research Papers
Paper - 2026P4,mentions,Concept - Research Papers
Paper - 2026P5,mentions,Concept - Research Papers
Paper - 2026P6,mentions,Concept - Research Papers
Paper - 2026P7,mentions,Concept - Research Papers
Paper - 2026P8,mentions,Concept - Research Papers
Paper - 2026P9,mentions,Concept - Research Papers
Paper - 20bf06fe,mentions,Concept - Research Papers
Paper - 2111.06377v3,mentions,Concept - Research Papers
Paper - 2304.07193v2,mentions,Concept - Research Papers
Paper - 2309.07778v5,mentions,Concept - Research Papers
Paper - 2404.10242v1,mentions,Concept - Research Papers
Paper - 2408.10527v1,mentions,Concept - Research Papers
Paper - 2501.09223v2,mentions,Concept - Research Papers
Paper - 2603.15553v1 1,mentions,Concept - Research Papers
Paper - 2603.15553v1,mentions,Concept - Research Papers
Paper - 267,mentions,Concept - Research Papers
Paper - 27079184,mentions,Concept - Research Papers
Paper - 27 392,mentions,Concept - Research Papers
Paper - 56,mentions,Concept - Research Papers
Paper - 68,mentions,Concept - Research Papers
Paper - 70,mentions,Concept - Research Papers
Paper - 80ad2aab-cab1-429f-a9c8-ce701b44784d,mentions,Concept - Research Papers
Paper - 840d371c-c2d8-4005-855c-1ae125aef259,mentions,Concept - Research Papers
Paper - 933a2911-7176-451f-8c84-304ee18e03ba ML Image Analysis,mentions,Concept - Computer Vision for Biology
"Paper - Abolhasani,-Milad-2023-01-30-The-rise-of-self-driving-labs-in-chemical-and-materia",mentions,Concept - Self-Driving Labs
"Paper - Abolhasani,-Milad-2023-01-30-The-rise-of-self-driving-labs-in-chemical-and-materia",mentions,Concept - Materials Discovery
Paper - adhm.202504669,mentions,Concept - Research Papers
Paper - Zieger Towards Automation in 3D Cell Culture Selective and Gentle HighThroughput,mentions,Concept - Lab Automation
Paper - Zieger Towards Automation in 3D Cell Culture Selective and Gentle HighThroughput,mentions,Concept - Biofabrication
Paper - Zieger Towards Automation in 3D Cell Culture Selective and Gentle HighThroughput,mentions,Concept - Materials Discovery
Paper - SharfPauker Scaling Up Synthetic Cell Production Using Robotics and Machine Learni,mentions,Concept - Lab Automation
Paper - SharfPauker Scaling Up Synthetic Cell Production Using Robotics and Machine Learni,mentions,Concept - Biofabrication
Paper - AI Agent Safety,mentions,Concept - Biomedical AI Agents
Paper - AI Agent Safety,mentions,Concept - AI Safety and Governance
Paper - Bridging silicon and carbon worlds,mentions,Concept - Research Papers
"Paper - Alexandra-Dunnum-VandeLoo-Sep-8,-2025-SAMCell--Generalized-label-free-biological-c",mentions,Concept - Foundation Models
"Paper - Alexandra-Dunnum-VandeLoo-Sep-8,-2025-SAMCell--Generalized-label-free-biological-c",mentions,Concept - Computer Vision for Biology
Paper - Digilocs a leap forward in predicti,mentions,Concept - Research Papers
Paper - Automatic Cell Counting With YOLOv5 A Fluorescence,mentions,Concept - Computer Vision for Biology
Paper - biosensors-14-00401-v2,mentions,Concept - Biosensors and Diagnostics
Paper - Gisperg Bayesian Optimization in Bioprocess Engineering Where Do We Stand Today,mentions,Concept - Optimization and Bayesian Search
Paper - How to build the virtual cell with artificial intelligence Priorities and opportun,mentions,Concept - Foundation Models
Paper - Lyu Crystal Structure Engineering Enables Enhanced Ionic Conductivity in LAGP Soli,mentions,Concept - Materials Discovery
"Paper - Collins,-Evan-2025-10-01-Self-driving-labs-for-biotechnology",mentions,Concept - Self-Driving Labs
Paper - d3dd00115f,mentions,Concept - Research Papers
Paper - d5dd00336a,mentions,Concept - Research Papers
Paper - d5lc00311c,mentions,Concept - Research Papers
Paper - d5nj00172b,mentions,Concept - Research Papers
Paper - el agente,mentions,Concept - Biomedical AI Agents
Paper - elife-77007-v1,mentions,Concept - Research Papers
Paper - f0ac5fa4,mentions,Concept - Research Papers
